stage,record_id,repository,issue_number,issue_fetch_status,expected_comments,observed_comments,retained_comments,fixing_commit_status
stage1,icse2022_an_empirical_study_on_performance:9f9ddd40b0ef0507,pytorch/pytorch,10,success,2,2,2,not_applicable
stage1,icse2022_an_empirical_study_on_performance:27550488fdd8283d,pytorch/pytorch,10000,success,7,7,7,not_applicable
stage1,icse2022_an_empirical_study_on_performance:612a7d3b141a80a4,pytorch/pytorch,10003,success,0,0,0,not_applicable
stage1,icse2022_an_empirical_study_on_performance:f37322cd371dd941,pytorch/pytorch,10004,success,5,5,5,not_applicable
stage1,icse2022_an_empirical_study_on_performance:693f231b22e072bc,pytorch/pytorch,10006,success,10,10,10,not_applicable
stage1,icse2022_an_empirical_study_on_performance:196484495ad9cd8d,pytorch/pytorch,10009,success,5,5,5,not_applicable
stage1,icse2022_an_empirical_study_on_performance:7a63a92520738780,pytorch/pytorch,1003,success,4,4,4,not_applicable
stage1,icse2022_an_empirical_study_on_performance:f608314126724ba7,pytorch/pytorch,10041,success,3,3,3,not_applicable
stage1,icse2022_an_empirical_study_on_performance:6db5d5072f6015bf,pytorch/pytorch,10078,success,1,1,1,not_applicable
stage1,icse2022_an_empirical_study_on_performance:4632cb9cdeb0fcaf,pytorch/pytorch,10116,success,1,1,1,not_applicable
stage1,icse2022_an_empirical_study_on_performance:c7a4a1e75a0a75c4,pytorch/pytorch,10117,success,11,11,11,not_applicable
stage1,icse2022_an_empirical_study_on_performance:c1065bd20b2fb832,pytorch/pytorch,10121,success,3,3,3,not_applicable
stage1,icse2022_an_empirical_study_on_performance:89a7bc72085d643b,pytorch/pytorch,10160,success,1,1,1,not_applicable
stage1,icse2022_an_empirical_study_on_performance:47839fd5ad8c55bb,pytorch/pytorch,10161,success,3,3,3,not_applicable
stage1,icse2022_an_empirical_study_on_performance:82a060b26798bf2e,pytorch/pytorch,10170,success,0,0,0,not_applicable
stage1,icse2022_an_empirical_study_on_performance:b36492acd6fc90d9,pytorch/pytorch,1019,success,2,2,2,not_applicable
stage1,icse2022_an_empirical_study_on_performance:efc8dc210cc8a157,pytorch/pytorch,10202,success,4,4,4,not_applicable
stage1,icse2022_an_empirical_study_on_performance:3086fd70cc2d22e6,pytorch/pytorch,1022,success,10,12,10,not_applicable
stage1,icse2022_an_empirical_study_on_performance:52e71feff4a615b6,pytorch/pytorch,10229,success,13,13,13,not_applicable
stage1,icse2022_an_empirical_study_on_performance:e5dfbea794cb89e1,pytorch/pytorch,10237,success,4,4,4,not_applicable
stage1,icse2022_an_empirical_study_on_performance:4e363d3bbcdd9670,pytorch/pytorch,10238,success,0,0,0,not_applicable
stage1,icse2022_an_empirical_study_on_performance:61e8ac0829ee14a1,pytorch/pytorch,10249,success,10,10,10,not_applicable
stage1,icse2022_an_empirical_study_on_performance:652a23378356f5ca,pytorch/pytorch,10255,success,1,1,1,not_applicable
